Player_ID,MP,Goals,Assists,Yellow Cards,Red Cards,Competition ID,Season
64,12,0,0,1,0,1,2018-19
65,9,2,0,0,0,3,Fall 2020
65,2,0,0,0,0,4,Spring 2021
66,7,0,2,0,0,1,2021-22
66,4,1,0,0,0,6,Summer 2022
66,1,0,0,0,0,3,Spring 2022
67,8,1,1,2,0,1,2021-22
67,2,0,0,0,0,3,Fall 2021
67,1,0,0,0,0,5,Winter 2022
68,6,0,0,1,0,6,Summer 2022
68,3,0,0,0,0,5,Summer 2022
68,3,1,0,0,0,3,Spring 2022
69,11,0,0,1,0,1,2019-20
70,11,0,0,1,0,1,2018-19
71,4,3,2,0,0,6,Summer 2022
71,4,0,1,0,0,5,Summer 2022
71,4,0,0,0,0,3,Spring 2022
72,10,0,3,0,0,1,2021-22
73,10,0,0,0,0,1,2018-19
74,10,0,0,0,0,1,2018-19
75,6,0,0,0,0,4,Spring 2021
75,4,0,0,1,0,1,2021-22
76,10,0,0,2,0,1,2018-19
77,4,0,0,1,1,3,Spring 2022
77,3,0,0,0,0,5,Winter 2022
77,2,0,1,0,0,1,2021-22
78,5,0,0,0,0,4,Spring 2021
78,3,0,0,0,0,3,Spring 2021
78,1,0,0,0,0,1,2021-22
79,8,5,5,0,0,1,2018-19
80,5,2,4,0,0,3,Spring 2022
80,4,3,0,0,0,5,Summer 2022
80,1,0,1,0,0,6,Summer 2022
81,8,3,0,0,0,1,2021-22
82,6,0,0,0,0,3,Fall 2020
82,1,0,0,0,0,5,Winter 2022
82,1,0,1,0,0,1,2021-22
83,8,0,0,0,0,4,Spring 2021
84,6,0,0,0,0,1,2021-22
84,1,0,0,0,0,5,Winter 2022
84,1,0,0,0,0,3,Spring 2022
85,7,1,2,1,0,1,2018-19
86,7,1,1,1,0,1,2019-20
87,7,0,1,0,0,3,Fall 2020
88,7,0,0,1,0,3,Fall 2021
89,7,0,0,1,0,4,Spring 2021
90,7,0,0,1,0,1,2018-19
91,5,3,0,0,0,6,Summer 2022
91,1,0,0,0,0,1,2021-22
92,4,1,1,0,0,6,Summer 2022
92,2,0,0,0,0,5,Summer 2022
93,6,2,1,0,0,6,Summer 2022
93,2,0,0,0,0,5,Summer 2022
94,6,1,1,0,0,6,Summer 2022
94,2,0,0,1,0,5,Summer 2022
95,4,0,0,1,0,5,Summer 2022
95,3,1,1,0,0,6,Summer 2022
95,1,0,0,0,0,6,Summer 2022
96,3,0,0,0,0,3,Fall 2021
96,3,0,2,0,0,1,2021-22
97,6,0,1,0,0,3,Fall 2021
98,6,0,1,1,0,1,2021-22
99,4,0,0,0,0,6,Summer 2022
99,3,0,0,0,0,5,Summer 2022
100,2,0,0,0,0,3,Fall 2021
100,2,0,0,0,0,1,2021-22
100,1,0,0,0,0,6,Summer 2022
100,1,0,0,0,0,3,Spring 2021
101,4,0,0,0,0,1,2021-22
101,2,0,0,0,0,3,Spring 2021
102,6,0,0,0,0,1,2018-19
103,6,0,0,1,0,1,2018-19
104,4,1,0,0,0,4,Spring 2021
104,1,0,0,0,0,3,Spring 2021
105,3,1,0,0,0,6,Summer 2022
105,2,0,0,0,0,6,Summer 2022
106,3,0,1,1,0,6,Summer 2022
106,2,0,0,0,0,1,2021-22
107,3,0,1,1,0,1,2021-22
107,2,0,0,1,0,3,Fall 2021
108,5,0,0,0,0,3,Fall 2020
109,3,0,0,0,0,1,2021-22
109,2,0,0,0,0,6,Summer 2022
110,5,0,0,0,0,1,2018-19
111,5,0,0,1,0,3,Fall 2020
112,5,0,0,1,0,4,Spring 2021
113,4,4,1,0,0,1,2019-20
114,4,1,1,0,0,1,2019-20
115,4,0,0,0,0,3,Spring 2021
116,4,0,0,0,0,3,Fall 2020
117,3,0,0,0,0,6,Summer 2022
117,1,0,0,0,0,3,Spring 2022
118,4,0,0,0,0,6,Summer 2022
119,4,0,0,0,0,1,2018-19
120,4,0,0,0,0,6,Summer 2022
121,4,0,0,0,0,1,2018-19
122,4,0,0,0,0,1,2021-22
123,4,0,0,0,0,1,2019-20
124,3,1,0,0,0,3,Fall 2020
125,3,1,0,0,0,6,Summer 2022
125,2,0,0,0,0,5,Summer 2022
126,3,1,0,0,0,6,Summer 2022
127,3,0,2,1,0,3,Fall 2020
128,3,0,0,0,0,1,2021-22
129,3,0,0,0,0,3,Fall 2020
130,3,0,0,0,0,4,Spring 2021
131,3,0,0,0,0,1,2021-22
