,Year,Expense Type,Competition,Expense,Amount,Date,Account,Paid
,Fall 2022,Registration,ADASL,Summer 7 - PayPal,$40.00,7/8/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Summer 8,$160.00,7/9/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Summer 9 - PayPal,$30.00,7/15/2022,Potros FC,TRUE
Referees,,,,,"$2,200.00",,,
Competition:,,,,,Sum:,,,
UPSL,,,,,$580.00,,,
,Fall 2022,Referees,UPSL,Regional Cup - group stage,$435.00,7/5/2022,Potros FC,TRUE
,Fall 2022,Referees,UPSL,Semi final ,$145.00,7/26/2022,Regions,TRUE
ADASL,,,,,"$1,620.00",,,
,Fall 2022,Referees,ADASL,ADASL summer referee fees,"$1,620.00",5/28/2022,Potros FC,TRUE
Friendlies,,,,,$0.00,,,
,Fall 2022,Referees,Friendlies,,,,,FALSE
Equipment,,,,,"$7,845.09",,,
Competition:,,,,,Sum:,,,
Uniforms,,,,,"$5,943.77",,,
,Fall 2022,Equipment,Uniforms,Uniforms/practice shirts,"$5,464.55",6/28/2022,Potros FC,TRUE
,Fall 2022,Equipment,Uniforms,Practice shirts 2,$479.22,8/3/2022,Discover,TRUE
Other,,,,,"$1,901.32",,,
,Fall 2022,Equipment,Other,Van repairs,$250.00,7/11/2022,Potros FC,TRUE
,Fall 2022,Equipment,Other,Pix4Team,"$1,603.22",7/20/2022,Potros FC,TRUE
,Fall 2022,Equipment,Other,International service fee,$48.10,7/20/2022,Potros FC,TRUE
Field Rentals,,,,,"$1,622.50",,,
Competition:,,,,,Sum:,,,
UPSL,,,,,$537.50,,,
,Fall 2022,Field Rentals,UPSL,South Gwinnett,$62.50,7/26/2022,Regions,TRUE
,Fall 2022,Field Rentals,UPSL,Marietta summer ,$475.00,8/4/2022,Discover,TRUE
ADASL,,,,,"$1,085.00",,,
,Fall 2022,Field Rentals,ADASL,Marietta June Rentals,"$1,085.00",6/16/2022,Potros FC,TRUE
Other,,,,,$0.00,,,
,Fall 2022,Field Rentals,Other,,,,,FALSE
Other,,,,,$0.00,,,
Competition:,,,,,Sum:,,,
Other,,,,,$0.00,,,
,Fall 2022,Other,Other,,,,,FALSE
,,,,Total Expenses - Spring,"$20,902.48",,,"$19,891.68"
,,,,Total expenses - fall,"$16,630.03",,,
,,,,,"$37,532.51",,,
